2025/11/16-14:42:16.028826,1763304136.028791434,34.98
2025/11/16-14:42:16.030488,1763304136.030443846,44.18
2025/11/16-14:42:16.031593,1763304136.031551168,42.05
2025/11/16-14:42:16.032697,1763304136.032655077,42.75
2025/11/16-14:42:16.033803,1763304136.033759451,44.05
2025/11/16-14:42:16.034926,1763304136.034883187,42.86
2025/11/16-14:42:16.036044,1763304136.036001734,43.19
2025/11/16-14:42:16.037168,1763304136.037120592,48.26
2025/11/16-14:42:16.038292,1763304136.038245723,46.86
2025/11/16-14:42:16.039399,1763304136.039355572,43.48
2025/11/16-14:42:16.040503,1763304136.040460457,43.01
2025/11/16-14:42:16.041607,1763304136.041564597,43.39
2025/11/16-14:42:16.042712,1763304136.042668839,43.51
2025/11/16-14:42:16.043816,1763304136.043773078,43.32
2025/11/16-14:42:16.044885,1763304136.044842588,43.02
2025/11/16-14:42:16.045987,1763304136.045946309,40.98
2025/11/16-14:42:16.047090,1763304136.047047783,42.53
2025/11/16-14:42:16.048192,1763304136.048150511,41.80
2025/11/16-14:42:16.049295,1763304136.049252883,42.87
2025/11/16-14:42:16.050399,1763304136.050356156,43.32
2025/11/16-14:42:16.051503,1763304136.051459930,43.65
2025/11/16-14:42:16.052617,1763304136.052571836,45.25
2025/11/16-14:42:16.053725,1763304136.053682110,43.53
2025/11/16-14:42:16.054830,1763304136.054787653,43.18
2025/11/16-14:42:16.055945,1763304136.055902389,42.87
2025/11/16-14:42:16.057050,1763304136.057006970,44.01
2025/11/16-14:42:16.058152,1763304136.058112374,40.30
2025/11/16-14:42:16.059260,1763304136.059213647,47.30
2025/11/16-14:42:16.060365,1763304136.060322067,43.73
2025/11/16-14:42:16.061469,1763304136.061426909,42.59
2025/11/16-14:42:16.062577,1763304136.062530783,46.48
2025/11/16-14:42:16.063680,1763304136.063638554,42.20
2025/11/16-14:42:16.064782,1763304136.064741829,41.13
2025/11/16-14:42:16.065889,1763304136.065845214,44.44
2025/11/16-14:42:16.066993,1763304136.066951241,42.24
2025/11/16-14:42:16.068094,1763304136.068054308,40.66
2025/11/16-14:42:16.069197,1763304136.069155749,42.18
2025/11/16-14:42:16.070305,1763304136.070258583,46.53
2025/11/16-14:42:16.071407,1763304136.071366103,41.34
2025/11/16-14:42:16.072512,1763304136.072467911,44.38
