2025/11/17-15:16:09.671728,1763392569.671251580,477
2025/11/17-15:16:10.673173,1763392570.672600976,572
2025/11/17-15:16:11.673831,1763392571.673328389,503
2025/11/17-15:16:12.674826,1763392572.674049096,777
2025/11/17-15:16:13.676050,1763392573.675004961,1045
2025/11/17-15:16:14.676977,1763392574.676214858,762
2025/11/17-15:16:15.677605,1763392575.677112939,493
2025/11/17-15:16:16.678222,1763392576.677746207,476
2025/11/17-15:16:17.679167,1763392577.678384986,782
2025/11/17-15:16:18.679792,1763392578.679327467,465
2025/11/17-15:16:19.680678,1763392579.679936457,742
2025/11/17-15:16:20.681236,1763392580.680867564,368
2025/11/17-15:16:21.681790,1763392581.681387068,403
2025/11/17-15:16:22.683228,1763392582.681948312,1280
2025/11/17-15:16:23.684227,1763392583.683366796,860
2025/11/17-15:16:24.684722,1763392584.684376458,346
2025/11/17-15:16:25.685486,1763392585.684885716,600
2025/11/17-15:16:26.686317,1763392586.685622642,695
2025/11/17-15:16:27.687115,1763392587.686488297,627
2025/11/17-15:16:28.687735,1763392588.687270094,465
2025/11/17-15:16:29.688237,1763392589.687897290,340
2025/11/17-15:16:30.688879,1763392590.688379533,500
2025/11/17-15:16:31.689496,1763392591.689052470,443
2025/11/17-15:16:32.690134,1763392592.689645961,488
2025/11/17-15:16:33.692522,1763392593.690294911,2227
2025/11/17-15:16:34.693319,1763392594.692737897,581
2025/11/17-15:16:35.694144,1763392595.693528430,615
2025/11/17-15:16:36.694787,1763392596.694295064,491
2025/11/17-15:16:37.695620,1763392597.694932301,688
2025/11/17-15:16:38.696421,1763392598.695766449,655
2025/11/17-15:16:39.697233,1763392599.696563142,670
2025/11/17-15:16:40.698062,1763392600.697386651,676
2025/11/17-15:16:41.698691,1763392601.698206747,484
2025/11/17-15:16:42.699389,1763392602.698843235,546
2025/11/17-15:16:43.700088,1763392603.699531139,557
2025/11/17-15:16:44.700893,1763392604.700233313,660
2025/11/17-15:16:45.701635,1763392605.701052773,582
2025/11/17-15:16:46.702266,1763392606.701764768,501
2025/11/17-15:16:47.702929,1763392607.702416761,512
2025/11/17-15:16:48.703825,1763392608.703099921,725
2025/11/17-15:16:49.704607,1763392609.703997175,610
2025/11/17-15:16:50.705485,1763392610.704751349,734
2025/11/17-15:16:51.706119,1763392611.705638417,481
2025/11/17-15:16:52.706739,1763392612.706288541,451
2025/11/17-15:16:53.707593,1763392613.706905788,687
2025/11/17-15:16:54.708180,1763392614.707747508,433
2025/11/17-15:16:55.709063,1763392615.708381750,681
2025/11/17-15:16:56.709769,1763392616.709209848,559
2025/11/17-15:16:57.710588,1763392617.709918758,669
2025/11/17-15:16:58.711423,1763392618.710740153,683
2025/11/17-15:16:59.712100,1763392619.711574433,525
2025/11/17-15:17:00.712867,1763392620.712240620,626
2025/11/17-15:17:01.713728,1763392621.713016634,712
2025/11/17-15:17:02.714447,1763392622.713906755,540
2025/11/17-15:17:03.715158,1763392623.714604521,553
2025/11/17-15:17:04.716014,1763392624.715351943,662
2025/11/17-15:17:05.716662,1763392625.716199430,463
2025/11/17-15:17:06.717369,1763392626.716807102,562
2025/11/17-15:17:07.718000,1763392627.717517329,482
2025/11/17-15:17:08.718660,1763392628.718145561,514
