2025/11/19-06:19:29.034719,1763533169.034655105,64.47
2025/11/19-06:19:30.037467,1763533170.037416561,50.62
2025/11/19-06:19:31.037599,1763533171.037549469,50.29
2025/11/19-06:19:32.037726,1763533172.037675254,50.89
2025/11/19-06:19:33.037850,1763533173.037800259,50.72
2025/11/19-06:19:34.037979,1763533174.037932458,47.06
2025/11/19-06:19:35.038103,1763533175.038054904,48.29
2025/11/19-06:19:36.038235,1763533176.038179976,55.53
2025/11/19-06:19:37.038354,1763533177.038307749,47.18
2025/11/19-06:19:38.038476,1763533178.038429641,46.77
2025/11/19-06:19:39.038597,1763533179.038549334,48.33
2025/11/19-06:19:40.038730,1763533180.038675430,54.67
2025/11/19-06:19:41.038857,1763533181.038808739,49.18
2025/11/19-06:19:42.038977,1763533182.038930896,46.27
2025/11/19-06:19:43.039102,1763533183.039054314,48.02
2025/11/19-06:19:44.039227,1763533184.039175053,52.75
2025/11/19-06:19:45.039350,1763533185.039300396,49.77
2025/11/19-06:19:46.039473,1763533186.039425422,47.69
2025/11/19-06:19:47.039595,1763533187.039549606,45.64
2025/11/19-06:19:48.039720,1763533188.039670754,49.52
2025/11/19-06:19:49.039842,1763533189.039792890,49.37
2025/11/19-06:19:50.039963,1763533190.039915398,47.92
2025/11/19-06:19:51.040082,1763533191.040036014,46.73
2025/11/19-06:19:52.040207,1763533192.040159188,48.56
2025/11/19-06:19:53.040325,1763533193.040281883,43.79
2025/11/19-06:19:54.040444,1763533194.040397378,47.01
2025/11/19-06:19:55.040565,1763533195.040517965,47.44
2025/11/19-06:19:56.040701,1763533196.040639116,61.98
2025/11/19-06:19:57.040820,1763533197.040773121,47.07
2025/11/19-06:19:58.040900,1763533198.040849785,50.71
2025/11/19-06:19:59.041017,1763533199.040972606,45.24
2025/11/19-06:20:00.041145,1763533200.041093993,51.02
2025/11/19-06:20:01.041263,1763533201.041217973,45.17
2025/11/19-06:20:02.041392,1763533202.041340772,52.00
2025/11/19-06:20:03.041521,1763533203.041475975,45.18
2025/11/19-06:20:04.041649,1763533204.041598252,51.49
2025/11/19-06:20:05.041769,1763533205.041723254,46.64
2025/11/19-06:20:06.041899,1763533206.041847698,51.81
2025/11/19-06:20:07.042019,1763533207.041972676,47.32
2025/11/19-06:20:08.042156,1763533208.042093183,63.40
2025/11/19-06:20:09.042274,1763533209.042228340,46.52
2025/11/19-06:20:10.042405,1763533210.042357284,48.57
2025/11/19-06:20:11.042523,1763533211.042477485,45.73
2025/11/19-06:20:12.042645,1763533212.042595492,50.21
2025/11/19-06:20:13.042784,1763533213.042733681,51.12
2025/11/19-06:20:14.042899,1763533214.042848054,51.54
2025/11/19-06:20:15.043028,1763533215.042977454,50.58
2025/11/19-06:20:16.043147,1763533216.043100720,46.97
2025/11/19-06:20:17.043270,1763533217.043224083,46.74
2025/11/19-06:20:18.043392,1763533218.043345780,46.92
2025/11/19-06:20:19.043518,1763533219.043465882,52.36
2025/11/19-06:20:20.043642,1763533220.043590083,52.52
2025/11/19-06:20:21.043761,1763533221.043714202,47.10
2025/11/19-06:20:22.043893,1763533222.043849984,43.97
2025/11/19-06:20:23.044019,1763533223.043973953,45.07
2025/11/19-06:20:24.044140,1763533224.044092681,47.41
2025/11/19-06:20:25.044264,1763533225.044216249,48.04
2025/11/19-06:20:26.044386,1763533226.044338168,47.89
2025/11/19-06:20:27.044508,1763533227.044460622,47.95
2025/11/19-06:20:28.044636,1763533228.044587889,48.36
2025/11/19-06:20:29.048114,1763533229.048058901,55.10
2025/11/19-06:20:30.048597,1763533230.048546539,51.40
2025/11/19-06:20:31.048728,1763533231.048677793,50.58
2025/11/19-06:20:32.048855,1763533232.048807973,47.89
2025/11/19-06:20:33.048978,1763533233.048929023,49.24
2025/11/19-06:20:34.049097,1763533234.049051139,45.98
2025/11/19-06:20:35.049219,1763533235.049172706,46.88
2025/11/19-06:20:36.049342,1763533236.049294662,47.50
2025/11/19-06:20:37.049468,1763533237.049418313,50.39
2025/11/19-06:20:38.049594,1763533238.049546266,47.73
2025/11/19-06:20:39.049722,1763533239.049666174,56.55
2025/11/19-06:20:40.049850,1763533240.049802603,47.48
2025/11/19-06:20:41.049972,1763533241.049926539,46.25
2025/11/19-06:20:42.050094,1763533242.050048579,46.32
2025/11/19-06:20:43.050215,1763533243.050165993,49.93
2025/11/19-06:20:44.050336,1763533244.050289139,47.66
2025/11/19-06:20:45.050469,1763533245.050415310,54.28
2025/11/19-06:20:46.050604,1763533246.050540281,64.30
2025/11/19-06:20:47.050728,1763533247.050676369,51.66
2025/11/19-06:20:48.050850,1763533248.050804832,45.83
2025/11/19-06:20:49.050969,1763533249.050923435,45.85
2025/11/19-06:20:50.051090,1763533250.051043160,47.69
2025/11/19-06:20:51.051208,1763533251.051162045,46.48
2025/11/19-06:20:52.051325,1763533252.051279865,45.97
2025/11/19-06:20:53.051453,1763533253.051403611,49.97
2025/11/19-06:20:54.051573,1763533254.051525584,47.60
2025/11/19-06:20:55.051692,1763533255.051646434,46.45
2025/11/19-06:20:56.051809,1763533256.051764630,45.09
2025/11/19-06:20:57.051896,1763533257.051848481,47.74
2025/11/19-06:20:58.052019,1763533258.051972282,47.08
2025/11/19-06:20:59.052148,1763533259.052100179,48.57
2025/11/19-06:21:00.052268,1763533260.052221930,46.55
2025/11/19-06:21:01.052386,1763533261.052340224,45.86
2025/11/19-06:21:02.052510,1763533262.052462771,48.13
2025/11/19-06:21:03.052634,1763533263.052591023,43.81
2025/11/19-06:21:04.052751,1763533264.052707398,44.45
2025/11/19-06:21:05.052872,1763533265.052824930,47.10
2025/11/19-06:21:06.052987,1763533266.052944043,43.77
2025/11/19-06:21:07.053108,1763533267.053063158,45.23
2025/11/19-06:21:08.053228,1763533268.053180419,48.18
2025/11/19-06:21:09.053353,1763533269.053305710,47.50
2025/11/19-06:21:10.053483,1763533270.053430706,52.76
2025/11/19-06:21:11.053609,1763533271.053561496,48.27
2025/11/19-06:21:12.053733,1763533272.053686778,46.93
2025/11/19-06:21:13.053851,1763533273.053805840,45.43
2025/11/19-06:21:14.053972,1763533274.053926408,45.88
2025/11/19-06:21:15.054092,1763533275.054045991,46.68
2025/11/19-06:21:16.054210,1763533276.054165195,45.25
2025/11/19-06:21:17.054330,1763533277.054287095,43.12
2025/11/19-06:21:18.054452,1763533278.054405943,46.42
2025/11/19-06:21:19.054570,1763533279.054523911,46.82
2025/11/19-06:21:20.054690,1763533280.054642809,47.23
2025/11/19-06:21:21.054816,1763533281.054767008,49.85
