2025/11/19-11:13:21.638373,1763550801.638317461,55.86
2025/11/19-11:13:22.639103,1763550802.639045795,57.39
2025/11/19-11:13:23.639227,1763550803.639171073,56.13
2025/11/19-11:13:24.639366,1763550804.639307838,58.89
2025/11/19-11:13:25.639499,1763550805.639441765,58.23
2025/11/19-11:13:26.639636,1763550806.639568210,68.46
2025/11/19-11:13:27.639759,1763550807.639702102,57.47
2025/11/19-11:13:28.639886,1763550808.639828760,57.95
2025/11/19-11:13:29.640008,1763550809.639951167,57.08
2025/11/19-11:13:30.640135,1763550810.640077333,57.90
2025/11/19-11:13:31.640260,1763550811.640200062,60.31
2025/11/19-11:13:32.640386,1763550812.640329348,56.81
2025/11/19-11:13:33.640507,1763550813.640450865,57.09
2025/11/19-11:13:34.640634,1763550814.640576077,58.78
2025/11/19-11:13:35.640755,1763550815.640699580,56.06
2025/11/19-11:13:36.640880,1763550816.640823776,57.10
2025/11/19-11:13:37.641014,1763550817.640945415,69.21
2025/11/19-11:13:38.641145,1763550818.641082937,62.90
2025/11/19-11:13:39.641285,1763550819.641222436,63.18
2025/11/19-11:13:40.641425,1763550820.641362233,62.99
2025/11/19-11:13:41.641555,1763550821.641491176,63.98
2025/11/19-11:13:42.641682,1763550822.641624010,58.05
2025/11/19-11:13:43.641811,1763550823.641746636,65.33
2025/11/19-11:13:44.641945,1763550824.641877379,68.22
2025/11/19-11:13:45.642073,1763550825.642010376,62.99
2025/11/19-11:13:46.642202,1763550826.642141334,61.13
2025/11/19-11:13:47.642353,1763550827.642266756,87.24
2025/11/19-11:13:48.642479,1763550828.642421853,57.38
2025/11/19-11:13:49.642599,1763550829.642543495,55.81
2025/11/19-11:13:50.642727,1763550830.642666988,60.33
2025/11/19-11:13:51.642857,1763550831.642791982,65.92
2025/11/19-11:13:52.642983,1763550832.642926227,57.00
2025/11/19-11:13:53.643110,1763550833.643049678,60.92
2025/11/19-11:13:54.643255,1763550834.643189738,65.94
2025/11/19-11:13:55.643391,1763550835.643328853,62.32
2025/11/19-11:13:56.643518,1763550836.643460723,57.49
2025/11/19-11:13:57.643639,1763550837.643583793,56.12
2025/11/19-11:13:58.643773,1763550838.643707768,65.48
2025/11/19-11:13:59.643905,1763550839.643846246,59.61
2025/11/19-11:14:00.644031,1763550840.643974726,56.56
2025/11/19-11:14:01.644160,1763550841.644096572,63.96
2025/11/19-11:14:02.644292,1763550842.644229093,63.65
2025/11/19-11:14:03.644415,1763550843.644360092,55.71
2025/11/19-11:14:04.644546,1763550844.644483902,62.36
2025/11/19-11:14:05.644678,1763550845.644614457,64.07
2025/11/19-11:14:06.644810,1763550846.644747501,62.63
2025/11/19-11:14:07.644947,1763550847.644874977,72.21
2025/11/19-11:14:08.645081,1763550848.645015794,65.79
2025/11/19-11:14:09.645223,1763550849.645157737,66.22
2025/11/19-11:14:10.645359,1763550850.645300542,58.92
2025/11/19-11:14:11.645482,1763550851.645425068,57.45
2025/11/19-11:14:12.645610,1763550852.645550808,59.88
2025/11/19-11:14:13.645732,1763550853.645676098,56.79
2025/11/19-11:14:14.645858,1763550854.645799428,58.62
2025/11/19-11:14:15.645978,1763550855.645922854,55.85
2025/11/19-11:14:16.646114,1763550856.646047960,66.55
2025/11/19-11:14:17.646239,1763550857.646179048,60.58
2025/11/19-11:14:18.646366,1763550858.646307689,58.38
2025/11/19-11:14:19.646487,1763550859.646430313,56.96
2025/11/19-11:14:20.646612,1763550860.646555135,57.12
2025/11/19-11:14:21.647098,1763550861.647035111,63.61
2025/11/19-11:14:22.647571,1763550862.647504036,67.45
2025/11/19-11:14:23.647699,1763550863.647636450,63.49
2025/11/19-11:14:24.647844,1763550864.647778174,66.14
2025/11/19-11:14:25.647976,1763550865.647918828,57.38
2025/11/19-11:14:26.648108,1763550866.648045785,62.91
2025/11/19-11:14:27.648233,1763550867.648173872,59.41
2025/11/19-11:14:28.648360,1763550868.648302101,58.88
2025/11/19-11:14:29.648481,1763550869.648425177,56.56
2025/11/19-11:14:30.648608,1763550870.648550643,57.88
2025/11/19-11:14:31.648737,1763550871.648672805,64.74
2025/11/19-11:14:32.648871,1763550872.648805658,65.47
2025/11/19-11:14:33.649000,1763550873.648935548,65.23
2025/11/19-11:14:34.649136,1763550874.649069823,66.75
2025/11/19-11:14:35.649265,1763550875.649201031,64.42
2025/11/19-11:14:36.649396,1763550876.649333017,63.21
2025/11/19-11:14:37.649525,1763550877.649460376,65.48
2025/11/19-11:14:38.649659,1763550878.649593883,65.25
2025/11/19-11:14:39.649805,1763550879.649735864,69.44
2025/11/19-11:14:40.649950,1763550880.649882602,67.68
2025/11/19-11:14:41.650072,1763550881.650015981,56.24
2025/11/19-11:14:42.650203,1763550882.650140546,63.42
2025/11/19-11:14:43.650330,1763550883.650269072,61.26
2025/11/19-11:14:44.650457,1763550884.650395464,62.40
2025/11/19-11:14:45.650588,1763550885.650522067,65.99
2025/11/19-11:14:46.650720,1763550886.650656495,64.29
2025/11/19-11:14:47.650845,1763550887.650785640,59.66
2025/11/19-11:14:48.650976,1763550888.650914477,61.75
2025/11/19-11:14:49.651115,1763550889.651046464,69.16
2025/11/19-11:14:50.651241,1763550890.651183791,57.90
2025/11/19-11:14:51.651363,1763550891.651306049,57.85
2025/11/19-11:14:52.651493,1763550892.651431984,61.72
2025/11/19-11:14:53.651618,1763550893.651558366,60.23
2025/11/19-11:14:54.651756,1763550894.651697556,59.29
2025/11/19-11:14:55.651899,1763550895.651830053,69.02
2025/11/19-11:14:56.652033,1763550896.651968714,64.54
2025/11/19-11:14:57.652155,1763550897.652098148,57.83
2025/11/19-11:14:58.652281,1763550898.652224047,57.54
2025/11/19-11:14:59.652412,1763550899.652345957,66.98
2025/11/19-11:15:00.652545,1763550900.652481449,63.84
2025/11/19-11:15:01.652668,1763550901.652610552,58.26
2025/11/19-11:15:02.652800,1763550902.652736514,63.86
2025/11/19-11:15:03.652924,1763550903.652867626,56.71
2025/11/19-11:15:04.653059,1763550904.652992893,66.19
2025/11/19-11:15:05.653178,1763550905.653123675,55.01
2025/11/19-11:15:06.653306,1763550906.653246517,59.59
2025/11/19-11:15:07.653426,1763550907.653370730,56.06
2025/11/19-11:15:08.653550,1763550908.653494787,55.89
2025/11/19-11:15:09.653685,1763550909.653626613,58.74
2025/11/19-11:15:10.653825,1763550910.653761708,64.08
2025/11/19-11:15:11.653954,1763550911.653891781,62.54
2025/11/19-11:15:12.654079,1763550912.654022963,56.51
2025/11/19-11:15:13.654200,1763550913.654143677,57.17
2025/11/19-11:15:14.654320,1763550914.654265152,54.99
2025/11/19-11:15:15.654447,1763550915.654384388,63.25
2025/11/19-11:15:16.654573,1763550916.654515789,57.67
2025/11/19-11:15:17.654700,1763550917.654642497,58.36
2025/11/19-11:15:18.654846,1763550918.654782791,63.53
2025/11/19-11:15:19.654984,1763550919.654920113,64.72
2025/11/19-11:15:20.655111,1763550920.655054449,57.47
