2025/11/19-11:33:34.257606,1763552014.257574143,32.82
2025/11/19-11:33:34.259312,1763552014.259272317,40.36
2025/11/19-11:33:34.260418,1763552014.260377998,40.53
2025/11/19-11:33:34.261519,1763552014.261481052,38.75
2025/11/19-11:33:34.262620,1763552014.262581912,38.69
2025/11/19-11:33:34.263722,1763552014.263682959,39.62
2025/11/19-11:33:34.264824,1763552014.264785099,38.92
2025/11/19-11:33:34.265910,1763552014.265868830,41.91
2025/11/19-11:33:34.267028,1763552014.266985653,43.05
2025/11/19-11:33:34.268134,1763552014.268092070,42.11
2025/11/19-11:33:34.269236,1763552014.269196764,39.74
2025/11/19-11:33:34.270339,1763552014.270298671,40.41
2025/11/19-11:33:34.271439,1763552014.271401085,37.96
2025/11/19-11:33:34.272541,1763552014.272501165,40.65
2025/11/19-11:33:34.273642,1763552014.273604210,38.76
2025/11/19-11:33:34.274744,1763552014.274704791,39.33
2025/11/19-11:33:34.275848,1763552014.275805707,42.30
2025/11/19-11:33:34.276950,1763552014.276909992,40.24
2025/11/19-11:33:34.278050,1763552014.278012114,38.45
2025/11/19-11:33:34.279151,1763552014.279112651,39.34
2025/11/19-11:33:34.280252,1763552014.280213715,38.88
2025/11/19-11:33:34.281354,1763552014.281314365,39.76
2025/11/19-11:33:34.282459,1763552014.282416322,42.76
2025/11/19-11:33:34.283559,1763552014.283520943,38.89
2025/11/19-11:33:34.284660,1763552014.284621718,38.32
2025/11/19-11:33:34.285762,1763552014.285723062,39.05
2025/11/19-11:33:34.286864,1763552014.286824408,40.41
2025/11/19-11:33:34.287967,1763552014.287927472,39.54
2025/11/19-11:33:34.289068,1763552014.289029442,38.89
2025/11/19-11:33:34.290171,1763552014.290130419,40.90
2025/11/19-11:33:34.291273,1763552014.291233217,40.31
2025/11/19-11:33:34.292381,1763552014.292336219,44.96
2025/11/19-11:33:34.293487,1763552014.293443717,43.78
2025/11/19-11:33:34.294588,1763552014.294549505,38.61
2025/11/19-11:33:34.295690,1763552014.295650554,39.48
2025/11/19-11:33:34.296793,1763552014.296752167,40.88
2025/11/19-11:33:34.297898,1763552014.297855408,42.85
2025/11/19-11:33:34.299007,1763552014.298967551,39.93
2025/11/19-11:33:34.300108,1763552014.300069872,38.55
2025/11/19-11:33:34.301209,1763552014.301170360,39.04
2025/11/19-11:33:34.302312,1763552014.302272018,40.85
2025/11/19-11:33:34.303413,1763552014.303374934,38.34
2025/11/19-11:33:34.304516,1763552014.304475615,40.53
2025/11/19-11:33:34.305618,1763552014.305579176,39.29
2025/11/19-11:33:34.306722,1763552014.306683701,39.08
2025/11/19-11:33:34.307824,1763552014.307785331,39.25
2025/11/19-11:33:34.308924,1763552014.308886863,37.20
2025/11/19-11:33:34.310030,1763552014.309986191,44.02
2025/11/19-11:33:34.311130,1763552014.311092321,38.62
2025/11/19-11:33:34.312233,1763552014.312193560,39.82
2025/11/19-11:33:34.313334,1763552014.313295121,39.43
2025/11/19-11:33:34.314438,1763552014.314396428,42.22
2025/11/19-11:33:34.315542,1763552014.315501217,41.31
2025/11/19-11:33:34.316646,1763552014.316605379,41.34
2025/11/19-11:33:34.317749,1763552014.317709456,40.54
2025/11/19-11:33:34.318853,1763552014.318812189,40.81
2025/11/19-11:33:34.319953,1763552014.319915814,38.14
2025/11/19-11:33:34.321057,1763552014.321016493,40.75
2025/11/19-11:33:34.322160,1763552014.322120137,39.97
2025/11/19-11:33:34.323262,1763552014.323222252,40.41
2025/11/19-11:33:34.324364,1763552014.324324754,39.28
2025/11/19-11:33:34.325465,1763552014.325426583,38.77
2025/11/19-11:33:34.326567,1763552014.326527750,39.80
2025/11/19-11:33:34.327669,1763552014.327629862,39.45
2025/11/19-11:33:34.328771,1763552014.328731377,39.85
2025/11/19-11:33:34.329874,1763552014.329833437,41.56
2025/11/19-11:33:34.330976,1763552014.330937429,39.54
2025/11/19-11:33:34.332076,1763552014.332039370,37.54
2025/11/19-11:33:34.333179,1763552014.333139332,39.80
2025/11/19-11:33:34.334285,1763552014.334241810,43.96
2025/11/19-11:33:34.335388,1763552014.335348405,39.75
2025/11/19-11:33:34.336488,1763552014.336449960,38.57
2025/11/19-11:33:34.337592,1763552014.337550700,41.84
2025/11/19-11:33:34.338698,1763552014.338654991,43.68
2025/11/19-11:33:34.339803,1763552014.339760761,43.17
2025/11/19-11:33:34.340907,1763552014.340866328,40.86
2025/11/19-11:33:34.342009,1763552014.341969745,39.33
2025/11/19-11:33:34.343112,1763552014.343071771,40.30
2025/11/19-11:33:34.344214,1763552014.344174307,39.98
2025/11/19-11:33:34.345322,1763552014.345276525,45.94
2025/11/19-11:33:34.346425,1763552014.346385220,40.25
2025/11/19-11:33:34.347525,1763552014.347487700,38.15
2025/11/19-11:33:34.348628,1763552014.348588124,40.73
2025/11/19-11:33:34.349732,1763552014.349691523,41.34
2025/11/19-11:33:34.350845,1763552014.350795245,50.29
2025/11/19-11:33:34.351947,1763552014.351908107,39.87
2025/11/19-11:33:34.353048,1763552014.353010154,38.72
2025/11/19-11:33:34.354155,1763552014.354110916,45.05
2025/11/19-11:33:34.355259,1763552014.355218799,40.63
2025/11/19-11:33:34.356361,1763552014.356321759,40.01
2025/11/19-11:33:34.357463,1763552014.357424290,38.98
2025/11/19-11:33:34.358566,1763552014.358525672,40.74
2025/11/19-11:33:34.359668,1763552014.359628836,39.68
2025/11/19-11:33:34.360768,1763552014.360730718,37.70
2025/11/19-11:33:34.361874,1763552014.361830481,44.17
2025/11/19-11:33:34.362978,1763552014.362936710,41.62
2025/11/19-11:33:34.364081,1763552014.364040719,40.31
2025/11/19-11:33:34.365183,1763552014.365143200,40.30
2025/11/19-11:33:34.366284,1763552014.366245414,39.22
2025/11/19-11:33:34.367385,1763552014.367346287,39.56
2025/11/19-11:33:34.368487,1763552014.368448246,39.70
2025/11/19-11:33:34.369593,1763552014.369549971,43.66
2025/11/19-11:33:34.370693,1763552014.370655756,38.16
2025/11/19-11:33:34.371798,1763552014.371756796,41.70
2025/11/19-11:33:34.372884,1763552014.372843659,41.17
2025/11/19-11:33:34.373986,1763552014.373947106,39.55
2025/11/19-11:33:34.375089,1763552014.375049002,40.60
