2025/11/19-17:39:35.636805,1763573975.636763939,41.28
2025/11/19-17:39:35.638471,1763573975.638423420,47.95
2025/11/19-17:39:35.639584,1763573975.639536273,47.83
2025/11/19-17:39:35.640703,1763573975.640647122,56.11
2025/11/19-17:39:35.641821,1763573975.641766160,55.67
2025/11/19-17:39:35.642901,1763573975.642845662,55.64
2025/11/19-17:39:35.644020,1763573975.643965366,55.00
2025/11/19-17:39:35.645137,1763573975.645082738,54.70
2025/11/19-17:39:35.646255,1763573975.646199758,56.11
2025/11/19-17:39:35.647373,1763573975.647318170,55.36
2025/11/19-17:39:35.648489,1763573975.648435841,53.91
2025/11/19-17:39:35.649609,1763573975.649552535,56.74
2025/11/19-17:39:35.650728,1763573975.650671820,57.06
2025/11/19-17:39:35.651847,1763573975.651790862,56.70
2025/11/19-17:39:35.652962,1763573975.652909261,53.62
2025/11/19-17:39:35.654083,1763573975.654024481,59.39
2025/11/19-17:39:35.655206,1763573975.655146394,59.84
2025/11/19-17:39:35.656324,1763573975.656269320,55.35
2025/11/19-17:39:35.657434,1763573975.657386614,48.27
2025/11/19-17:39:35.658544,1763573975.658496548,47.79
2025/11/19-17:39:35.659655,1763573975.659605993,49.04
2025/11/19-17:39:35.660765,1763573975.660716580,48.60
2025/11/19-17:39:35.661875,1763573975.661826432,48.70
2025/11/19-17:39:35.662984,1763573975.662936979,47.54
2025/11/19-17:39:35.664093,1763573975.664046676,47.26
2025/11/19-17:39:35.665202,1763573975.665155451,46.62
2025/11/19-17:39:35.666313,1763573975.666263707,49.33
2025/11/19-17:39:35.667423,1763573975.667374907,48.33
2025/11/19-17:39:35.668533,1763573975.668485461,47.91
2025/11/19-17:39:35.669644,1763573975.669595617,49.38
2025/11/19-17:39:35.670752,1763573975.670706736,45.87
2025/11/19-17:39:35.671867,1763573975.671814535,53.32
2025/11/19-17:39:35.672978,1763573975.672930524,48.26
2025/11/19-17:39:35.674088,1763573975.674040645,47.51
2025/11/19-17:39:35.675197,1763573975.675150256,47.22
2025/11/19-17:39:35.676303,1763573975.676259252,44.50
2025/11/19-17:39:35.677411,1763573975.677365673,46.02
2025/11/19-17:39:35.678519,1763573975.678473661,46.11
2025/11/19-17:39:35.679630,1763573975.679581636,49.12
2025/11/19-17:39:35.680744,1763573975.680692478,52.28
2025/11/19-17:39:35.681852,1763573975.681806785,45.58
2025/11/19-17:39:35.682959,1763573975.682914151,45.82
2025/11/19-17:39:35.684074,1763573975.684022201,52.46
2025/11/19-17:39:35.685199,1763573975.685136360,62.67
2025/11/19-17:39:35.686332,1763573975.686263825,68.79
2025/11/19-17:39:35.687447,1763573975.687395303,52.12
2025/11/19-17:39:35.688554,1763573975.688509886,45.09
2025/11/19-17:39:35.689665,1763573975.689617198,48.39
2025/11/19-17:39:35.690775,1763573975.690728648,46.67
2025/11/19-17:39:35.691888,1763573975.691840930,47.47
2025/11/19-17:39:35.692998,1763573975.692951218,47.54
2025/11/19-17:39:35.694105,1763573975.694060848,44.57
2025/11/19-17:39:35.695218,1763573975.695167876,50.98
2025/11/19-17:39:35.696329,1763573975.696281339,48.13
2025/11/19-17:39:35.697438,1763573975.697392183,45.98
2025/11/19-17:39:35.698546,1763573975.698500232,45.83
2025/11/19-17:39:35.699654,1763573975.699608605,46.04
2025/11/19-17:39:35.700764,1763573975.700717184,47.03
2025/11/19-17:39:35.701874,1763573975.701826525,48.00
2025/11/19-17:39:35.702984,1763573975.702937023,47.59
2025/11/19-17:39:35.704092,1763573975.704046941,45.27
2025/11/19-17:39:35.705204,1763573975.705154460,49.80
2025/11/19-17:39:35.706321,1763573975.706266034,55.24
2025/11/19-17:39:35.707434,1763573975.707383695,51.26
2025/11/19-17:39:35.708548,1763573975.708497438,51.11
2025/11/19-17:39:35.709656,1763573975.709611114,45.81
2025/11/19-17:39:35.710764,1763573975.710719714,45.22
2025/11/19-17:39:35.711874,1763573975.711826697,48.02
2025/11/19-17:39:35.712982,1763573975.712937611,45.25
2025/11/19-17:39:35.714093,1763573975.714045529,48.23
2025/11/19-17:39:35.715203,1763573975.715156591,46.81
2025/11/19-17:39:35.716312,1763573975.716265956,46.36
2025/11/19-17:39:35.717423,1763573975.717375022,48.74
2025/11/19-17:39:35.718532,1763573975.718485898,46.76
