2025/11/18-17:55:45.156417,1763488545.156366035,51.63
2025/11/18-17:55:45.158410,1763488545.158352752,58.15
2025/11/18-17:55:45.159524,1763488545.159475405,48.88
2025/11/18-17:55:45.160635,1763488545.160587018,48.03
2025/11/18-17:55:45.161749,1763488545.161697706,52.13
2025/11/18-17:55:45.162860,1763488545.162812357,48.10
2025/11/18-17:55:45.163971,1763488545.163922972,48.75
2025/11/18-17:55:45.165083,1763488545.165034124,49.78
2025/11/18-17:55:45.166201,1763488545.166146219,54.95
2025/11/18-17:55:45.167311,1763488545.167263082,48.09
2025/11/18-17:55:45.168420,1763488545.168372963,47.41
2025/11/18-17:55:45.169532,1763488545.169482979,49.64
2025/11/18-17:55:45.170644,1763488545.170594317,49.74
2025/11/18-17:55:45.171755,1763488545.171705539,49.84
2025/11/18-17:55:45.172866,1763488545.172817013,49.84
2025/11/18-17:55:45.173979,1763488545.173928264,51.21
2025/11/18-17:55:45.175093,1763488545.175040982,52.26
2025/11/18-17:55:45.176868,1763488545.176155323,713.55
2025/11/18-17:55:45.178012,1763488545.177946710,65.47
2025/11/18-17:55:45.179163,1763488545.179112270,51.42
2025/11/18-17:55:45.180271,1763488545.180228506,42.60
2025/11/18-17:55:45.181388,1763488545.181340128,48.59
2025/11/18-17:55:45.182497,1763488545.182452246,44.95
2025/11/18-17:55:45.183611,1763488545.183564919,46.66
2025/11/18-17:55:45.184716,1763488545.184674345,42.46
2025/11/18-17:55:45.185832,1763488545.185778589,53.50
2025/11/18-17:55:45.186947,1763488545.186905098,42.85
2025/11/18-17:55:45.188062,1763488545.188015473,46.73
2025/11/18-17:55:45.189177,1763488545.189127375,50.53
2025/11/18-17:55:45.190284,1763488545.190240211,44.60
2025/11/18-17:55:45.191392,1763488545.191349048,43.70
2025/11/18-17:55:45.192506,1763488545.192455446,50.87
2025/11/18-17:55:45.193613,1763488545.193568501,45.21
2025/11/18-17:55:45.194724,1763488545.194675873,48.91
2025/11/18-17:55:45.195834,1763488545.195787957,46.11
2025/11/18-17:55:45.196950,1763488545.196903706,46.60
2025/11/18-17:55:45.198060,1763488545.198017325,43.63
2025/11/18-17:55:45.199168,1763488545.199122300,45.78
2025/11/18-17:55:45.200281,1763488545.200235952,45.82
2025/11/18-17:55:45.201388,1763488545.201344620,43.52
2025/11/18-17:55:45.202500,1763488545.202450072,50.21
2025/11/18-17:55:45.203613,1763488545.203570665,42.42
2025/11/18-17:55:45.204719,1763488545.204675837,43.71
2025/11/18-17:55:45.205831,1763488545.205788837,42.42
2025/11/18-17:55:45.206947,1763488545.206905692,42.02
2025/11/18-17:55:45.208057,1763488545.208013644,44.07
2025/11/18-17:55:45.209176,1763488545.209129184,47.39
2025/11/18-17:55:45.210297,1763488545.210246038,51.52
2025/11/18-17:55:45.211407,1763488545.211359546,47.84
2025/11/18-17:55:45.212523,1763488545.212474421,48.61
2025/11/18-17:55:45.213634,1763488545.213590630,44.34
2025/11/18-17:55:45.214740,1763488545.214696526,43.86
2025/11/18-17:55:45.215857,1763488545.215811954,45.41
