2025/11/20-09:17:33.986516,1763630253.986459327,56.86
2025/11/20-09:17:34.989022,1763630254.988945477,76.54
2025/11/20-09:17:35.989140,1763630255.989090348,50.29
2025/11/20-09:17:36.989255,1763630256.989207254,47.80
2025/11/20-09:17:37.989368,1763630257.989320328,48.35
2025/11/20-09:17:38.989483,1763630258.989434149,48.89
2025/11/20-09:17:39.989595,1763630259.989548024,47.04
2025/11/20-09:17:40.989710,1763630260.989660737,49.28
2025/11/20-09:17:41.989823,1763630261.989775110,48.62
2025/11/20-09:17:42.989941,1763630262.989889635,51.66
2025/11/20-09:17:43.990055,1763630263.990006873,48.97
2025/11/20-09:17:44.990168,1763630264.990121999,46.95
2025/11/20-09:17:45.990282,1763630265.990234899,47.58
2025/11/20-09:17:46.990397,1763630266.990348465,48.55
2025/11/20-09:17:47.990510,1763630267.990462729,47.30
2025/11/20-09:17:48.990624,1763630268.990576864,48.01
2025/11/20-09:17:49.990739,1763630269.990689726,49.43
2025/11/20-09:17:50.990853,1763630270.990804329,49.10
2025/11/20-09:17:51.990967,1763630271.990919177,48.55
2025/11/20-09:17:52.991080,1763630272.991033574,46.86
2025/11/20-09:17:53.991192,1763630273.991145188,47.39
2025/11/20-09:17:54.991306,1763630274.991258246,47.80
2025/11/20-09:17:55.991417,1763630275.991371567,45.74
2025/11/20-09:17:56.991530,1763630276.991483142,47.69
2025/11/20-09:17:57.991644,1763630277.991595728,48.75
2025/11/20-09:17:58.991757,1763630278.991710070,47.36
2025/11/20-09:17:59.991870,1763630279.991822272,47.96
2025/11/20-09:18:00.991983,1763630280.991936116,47.69
2025/11/20-09:18:01.992099,1763630281.992050416,49.16
2025/11/20-09:18:02.992214,1763630282.992168459,46.23
2025/11/20-09:18:03.992330,1763630283.992281681,48.72
2025/11/20-09:18:04.992444,1763630284.992395938,48.10
2025/11/20-09:18:05.992557,1763630285.992508877,48.54
2025/11/20-09:18:06.992670,1763630286.992623787,46.23
2025/11/20-09:18:07.992781,1763630287.992734747,47.08
2025/11/20-09:18:08.992896,1763630288.992847713,48.82
2025/11/20-09:18:09.993012,1763630289.992962278,50.18
2025/11/20-09:18:10.993126,1763630290.993077961,48.79
2025/11/20-09:18:11.993238,1763630291.993190888,47.16
2025/11/20-09:18:12.993356,1763630292.993303246,53.68
2025/11/20-09:18:13.993471,1763630293.993421380,50.46
2025/11/20-09:18:14.993587,1763630294.993537784,50.08
2025/11/20-09:18:15.993700,1763630295.993653227,47.60
2025/11/20-09:18:16.993817,1763630296.993766646,50.93
2025/11/20-09:18:17.993936,1763630297.993888174,48.51
2025/11/20-09:18:18.994053,1763630298.994003396,49.78
2025/11/20-09:18:19.994167,1763630299.994119528,47.51
2025/11/20-09:18:20.994281,1763630300.994232852,48.76
2025/11/20-09:18:21.994396,1763630301.994346981,49.41
2025/11/20-09:18:22.994511,1763630302.994462235,49.67
2025/11/20-09:18:23.994630,1763630303.994576832,53.19
2025/11/20-09:18:24.994745,1763630304.994695954,49.74
2025/11/20-09:18:25.994860,1763630305.994812247,47.87
2025/11/20-09:18:26.994976,1763630306.994926531,49.91
2025/11/20-09:18:27.995089,1763630307.995042293,47.30
2025/11/20-09:18:28.995203,1763630308.995155511,48.38
2025/11/20-09:18:29.995340,1763630309.995269277,71.58
2025/11/20-09:18:30.995454,1763630310.995406199,47.84
2025/11/20-09:18:31.995572,1763630311.995519521,52.70
2025/11/20-09:18:32.995687,1763630312.995637290,50.30
2025/11/20-09:18:33.996163,1763630313.996113860,49.75
2025/11/20-09:18:34.996613,1763630314.996565736,48.21
2025/11/20-09:18:35.996731,1763630315.996680354,51.21
2025/11/20-09:18:36.996849,1763630316.996797543,51.87
2025/11/20-09:18:37.996962,1763630317.996915196,47.78
2025/11/20-09:18:38.997107,1763630318.997028887,78.63
2025/11/20-09:18:39.997222,1763630319.997173158,49.62
2025/11/20-09:18:40.997345,1763630320.997286208,59.44
2025/11/20-09:18:41.997458,1763630321.997411247,47.69
2025/11/20-09:18:42.997573,1763630322.997523992,49.11
2025/11/20-09:18:43.997682,1763630323.997637105,45.83
2025/11/20-09:18:44.997797,1763630324.997748219,49.74
2025/11/20-09:18:45.997921,1763630325.997862176,59.38
2025/11/20-09:18:46.998033,1763630326.997986357,46.82
2025/11/20-09:18:47.998153,1763630327.998099402,53.69
2025/11/20-09:18:48.998267,1763630328.998219067,48.25
2025/11/20-09:18:49.998382,1763630329.998332754,49.33
2025/11/20-09:18:50.998498,1763630330.998448646,49.58
2025/11/20-09:18:51.998610,1763630331.998563490,47.14
2025/11/20-09:18:52.998723,1763630332.998676470,47.15
2025/11/20-09:18:53.998844,1763630333.998788739,55.46
2025/11/20-09:18:54.998961,1763630334.998910445,50.85
2025/11/20-09:18:55.999074,1763630335.999026296,48.00
2025/11/20-09:18:56.999189,1763630336.999138925,50.26
2025/11/20-09:18:57.999308,1763630337.999254962,53.36
2025/11/20-09:18:58.999426,1763630338.999374838,51.29
2025/11/20-09:18:59.999538,1763630339.999491485,47.36
2025/11/20-09:19:00.999654,1763630340.999604322,50.58
2025/11/20-09:19:01.999768,1763630341.999720924,47.16
2025/11/20-09:19:02.999883,1763630342.999841190,42.59
2025/11/20-09:19:03.999998,1763630343.999949934,48.52
2025/11/20-09:19:05.000112,1763630345.000063946,48.44
2025/11/20-09:19:06.000229,1763630346.000177203,52.39
2025/11/20-09:19:07.000347,1763630347.000295042,52.08
2025/11/20-09:19:08.000461,1763630348.000413782,47.78
2025/11/20-09:19:09.000576,1763630349.000527841,48.87
2025/11/20-09:19:10.000691,1763630350.000642289,49.44
2025/11/20-09:19:11.000806,1763630351.000757885,48.46
2025/11/20-09:19:12.000918,1763630352.000872290,46.69
2025/11/20-09:19:13.001032,1763630353.000984457,47.70
