2025/11/20-08:42:05.916926,1763628125.916870882,55.17
2025/11/20-08:42:06.917692,1763628126.917631173,60.83
2025/11/20-08:42:07.917821,1763628127.917760960,60.74
2025/11/20-08:42:08.917948,1763628128.917888102,60.71
2025/11/20-08:42:09.918071,1763628129.918013548,58.19
2025/11/20-08:42:10.918194,1763628130.918135764,58.85
2025/11/20-08:42:11.918321,1763628131.918260213,61.20
2025/11/20-08:42:12.918447,1763628132.918386130,61.41
2025/11/20-08:42:13.918572,1763628133.918511884,60.95
2025/11/20-08:42:14.918695,1763628134.918637348,58.26
2025/11/20-08:42:15.918818,1763628135.918759779,58.92
2025/11/20-08:42:16.918941,1763628136.918883648,57.36
2025/11/20-08:42:17.919067,1763628137.919006036,61.11
2025/11/20-08:42:18.919190,1763628138.919131832,58.34
2025/11/20-08:42:19.919315,1763628139.919255178,59.87
2025/11/20-08:42:20.919439,1763628140.919380663,59.19
2025/11/20-08:42:21.919569,1763628141.919505347,64.34
2025/11/20-08:42:22.919693,1763628142.919634199,59.31
2025/11/20-08:42:23.919817,1763628143.919758345,58.95
2025/11/20-08:42:24.919942,1763628144.919882387,60.06
2025/11/20-08:42:25.920067,1763628145.920007462,60.06
2025/11/20-08:42:26.920191,1763628146.920131654,59.71
2025/11/20-08:42:27.920316,1763628147.920255727,61.09
2025/11/20-08:42:28.920440,1763628148.920381180,59.47
2025/11/20-08:42:29.920571,1763628149.920507226,64.72
2025/11/20-08:42:30.920702,1763628150.920638090,64.75
2025/11/20-08:42:31.920828,1763628151.920768322,60.00
2025/11/20-08:42:32.920955,1763628152.920893444,62.41
2025/11/20-08:42:33.921082,1763628153.921020337,62.10
2025/11/20-08:42:34.921208,1763628154.921147210,61.58
2025/11/20-08:42:35.921332,1763628155.921273256,59.47
2025/11/20-08:42:36.921459,1763628156.921396979,62.12
2025/11/20-08:42:37.921584,1763628157.921524015,60.93
2025/11/20-08:42:38.921709,1763628158.921650182,59.56
2025/11/20-08:42:39.921839,1763628159.921774064,65.85
2025/11/20-08:42:40.921961,1763628160.921903903,58.08
2025/11/20-08:42:41.922086,1763628161.922026841,59.17
2025/11/20-08:42:42.922212,1763628162.922151867,60.41
2025/11/20-08:42:43.922338,1763628163.922277424,60.58
2025/11/20-08:42:44.922470,1763628164.922404680,65.58
2025/11/20-08:42:45.922592,1763628165.922535039,57.45
2025/11/20-08:42:46.922715,1763628166.922657339,58.23
2025/11/20-08:42:47.922842,1763628167.922780824,62.17
2025/11/20-08:42:48.922964,1763628168.922907859,56.26
2025/11/20-08:42:49.923090,1763628169.923032041,58.72
2025/11/20-08:42:50.923216,1763628170.923155577,61.30
2025/11/20-08:42:51.923343,1763628171.923281457,61.75
2025/11/20-08:42:52.923467,1763628172.923408241,58.77
2025/11/20-08:42:53.923595,1763628173.923531918,63.45
2025/11/20-08:42:54.923721,1763628174.923660001,61.02
2025/11/20-08:42:55.923849,1763628175.923785939,63.25
2025/11/20-08:42:56.923971,1763628176.923912744,58.79
2025/11/20-08:42:57.924095,1763628177.924036750,58.49
2025/11/20-08:42:58.924219,1763628178.924160170,59.53
2025/11/20-08:42:59.924345,1763628179.924284231,60.93
2025/11/20-08:43:00.924469,1763628180.924409677,59.61
2025/11/20-08:43:01.924592,1763628181.924533787,58.88
2025/11/20-08:43:02.924724,1763628182.924657803,66.26
2025/11/20-08:43:03.924855,1763628183.924789250,66.69
2025/11/20-08:43:04.924981,1763628184.924920836,60.83
2025/11/20-08:43:05.925480,1763628185.925418042,62.52
2025/11/20-08:43:06.925976,1763628186.925915610,60.61
2025/11/20-08:43:07.926099,1763628187.926041137,58.75
2025/11/20-08:43:08.926227,1763628188.926165079,62.37
2025/11/20-08:43:09.926353,1763628189.926291933,61.16
2025/11/20-08:43:10.926478,1763628190.926417151,61.10
2025/11/20-08:43:11.926606,1763628191.926543015,63.23
2025/11/20-08:43:12.926730,1763628192.926670520,59.64
2025/11/20-08:43:13.926854,1763628193.926794345,60.08
2025/11/20-08:43:14.926979,1763628194.926918648,61.19
2025/11/20-08:43:15.927104,1763628195.927044729,60.15
2025/11/20-08:43:16.927226,1763628196.927168974,57.08
2025/11/20-08:43:17.927347,1763628197.927290655,56.92
