2025/11/20-10:06:01.511495,1763633161.511445599,50.33
2025/11/20-10:06:02.012277,1763633162.012219356,58.07
2025/11/20-10:06:02.512409,1763633162.512354234,54.88
2025/11/20-10:06:03.012529,1763633163.012477128,52.69
2025/11/20-10:06:03.512667,1763633163.512605536,61.81
2025/11/20-10:06:04.012803,1763633164.012743075,60.83
2025/11/20-10:06:04.512925,1763633164.512870854,55.03
2025/11/20-10:06:05.013057,1763633165.013000419,57.24
2025/11/20-10:06:05.513183,1763633165.513130889,52.33
2025/11/20-10:06:06.013306,1763633166.013250100,56.41
2025/11/20-10:06:06.513439,1763633166.513382828,56.88
2025/11/20-10:06:07.013567,1763633167.013514917,52.89
2025/11/20-10:06:07.513693,1763633167.513633645,59.44
2025/11/20-10:06:08.013833,1763633168.013768910,64.70
2025/11/20-10:06:08.513968,1763633168.513914005,54.22
2025/11/20-10:06:09.014091,1763633169.014035105,56.02
2025/11/20-10:06:09.514230,1763633169.514167229,62.86
2025/11/20-10:06:10.014359,1763633170.014304743,55.09
2025/11/20-10:06:10.514481,1763633170.514426953,54.06
2025/11/20-10:06:11.014616,1763633171.014556596,59.42
2025/11/20-10:06:11.514744,1763633171.514689703,54.44
2025/11/20-10:06:12.014864,1763633172.014812118,52.87
2025/11/20-10:06:12.514995,1763633172.514938975,57.01
2025/11/20-10:06:13.015125,1763633173.015070256,54.80
2025/11/20-10:06:13.515246,1763633173.515191876,54.98
2025/11/20-10:06:14.015380,1763633174.015321372,59.14
2025/11/20-10:06:14.515507,1763633174.515454807,52.85
2025/11/20-10:06:15.015630,1763633175.015574836,55.51
2025/11/20-10:06:15.515764,1763633175.515704563,60.21
2025/11/20-10:06:16.015898,1763633176.015845539,52.77
2025/11/20-10:06:16.516027,1763633176.515967164,59.94
2025/11/20-10:06:17.016163,1763633177.016101223,62.53
2025/11/20-10:06:17.516290,1763633177.516236762,53.41
2025/11/20-10:06:18.016415,1763633178.016357740,57.33
2025/11/20-10:06:18.516545,1763633178.516490760,55.14
2025/11/20-10:06:19.016677,1763633179.016619993,57.16
2025/11/20-10:06:19.516795,1763633179.516743560,52.43
2025/11/20-10:06:20.016927,1763633180.016871044,56.53
2025/11/20-10:06:20.517055,1763633180.517001113,54.47
2025/11/20-10:06:21.017177,1763633181.017122340,55.01
2025/11/20-10:06:21.517308,1763633181.517251641,56.78
2025/11/20-10:06:22.017435,1763633182.017382419,53.42
2025/11/20-10:06:22.517695,1763633182.517640487,55.28
2025/11/20-10:06:23.017828,1763633183.017771359,57.40
2025/11/20-10:06:23.517969,1763633183.517915341,54.03
2025/11/20-10:06:24.018093,1763633184.018035570,58.04
2025/11/20-10:06:24.518225,1763633184.518169080,55.97
2025/11/20-10:06:25.018360,1763633185.018298615,61.62
2025/11/20-10:06:25.518483,1763633185.518426868,56.78
2025/11/20-10:06:26.018615,1763633186.018558248,57.34
2025/11/20-10:06:26.518741,1763633186.518689426,52.51
2025/11/20-10:06:27.018861,1763633187.018808624,53.37
2025/11/20-10:06:27.518996,1763633187.518937195,59.19
2025/11/20-10:06:28.019124,1763633188.019070654,54.34
2025/11/20-10:06:28.519247,1763633188.519192792,54.65
2025/11/20-10:06:29.019376,1763633189.019322408,54.49
2025/11/20-10:06:29.519504,1763633189.519449429,54.69
2025/11/20-10:06:30.019626,1763633190.019570703,56.12
2025/11/20-10:06:30.519762,1763633190.519700608,61.55
2025/11/20-10:06:31.019893,1763633191.019842780,51.20
2025/11/20-10:06:31.520014,1763633191.519960768,53.50
2025/11/20-10:06:32.020144,1763633192.020087779,56.55
2025/11/20-10:06:32.520274,1763633192.520216203,58.73
2025/11/20-10:06:33.020396,1763633193.020342542,53.92
2025/11/20-10:06:33.520530,1763633193.520474065,56.07
2025/11/20-10:06:34.020665,1763633194.020609435,56.01
2025/11/20-10:06:34.520795,1763633194.520741565,54.08
2025/11/20-10:06:35.020920,1763633195.020868526,52.19
2025/11/20-10:06:35.521041,1763633195.520986394,54.91
2025/11/20-10:06:36.021170,1763633196.021115399,54.95
2025/11/20-10:06:36.521313,1763633196.521244630,69.13
2025/11/20-10:06:37.021437,1763633197.021381016,56.02
2025/11/20-10:06:37.521579,1763633197.521512132,67.05
2025/11/20-10:06:38.021746,1763633198.021653402,92.76
2025/11/20-10:06:38.521869,1763633198.521815156,53.98
2025/11/20-10:06:39.022005,1763633199.021943388,62.33
2025/11/20-10:06:39.522140,1763633199.522079089,61.03
2025/11/20-10:06:40.022258,1763633200.022206469,51.53
2025/11/20-10:06:40.522389,1763633200.522332786,56.39
2025/11/20-10:06:41.022517,1763633201.022462522,55.02
2025/11/20-10:06:41.522636,1763633201.522583984,52.62
2025/11/20-10:06:42.022769,1763633202.022711684,57.56
2025/11/20-10:06:42.522898,1763633202.522843884,54.20
2025/11/20-10:06:43.023020,1763633203.022964775,55.95
2025/11/20-10:06:43.523153,1763633203.523095085,58.30
2025/11/20-10:06:44.023282,1763633204.023227195,54.93
2025/11/20-10:06:44.523428,1763633204.523350225,78.76
2025/11/20-10:06:45.023563,1763633205.023503941,59.27
2025/11/20-10:06:45.523690,1763633205.523636969,53.84
2025/11/20-10:06:46.023818,1763633206.023756925,61.52
2025/11/20-10:06:46.523947,1763633206.523892442,54.80
2025/11/20-10:06:47.024074,1763633207.024021315,53.07
2025/11/20-10:06:47.524195,1763633207.524140635,54.75
2025/11/20-10:06:48.024323,1763633208.024269796,53.31
2025/11/20-10:06:48.524448,1763633208.524395801,52.21
2025/11/20-10:06:49.024575,1763633209.024515503,60.17
2025/11/20-10:06:49.524703,1763633209.524648483,54.55
2025/11/20-10:06:50.024831,1763633210.024776076,55.60
2025/11/20-10:06:50.524960,1763633210.524905613,54.74
2025/11/20-10:06:51.025090,1763633211.025032010,58.54
2025/11/20-10:06:51.525219,1763633211.525163186,55.86
2025/11/20-10:06:52.025340,1763633212.025284935,55.51
2025/11/20-10:06:52.525475,1763633212.525418672,56.57
2025/11/20-10:06:53.025606,1763633213.025552426,53.63
2025/11/20-10:06:53.525739,1763633213.525682445,56.76
2025/11/20-10:06:54.025870,1763633214.025813100,57.05
2025/11/20-10:06:54.525991,1763633214.525937986,53.06
2025/11/20-10:06:55.026121,1763633215.026066728,54.53
2025/11/20-10:06:55.526249,1763633215.526194749,54.56
2025/11/20-10:06:56.026371,1763633216.026316541,55.01
2025/11/20-10:06:56.526502,1763633216.526446299,56.28
2025/11/20-10:06:57.026629,1763633217.026575182,53.87
2025/11/20-10:06:57.526749,1763633217.526696095,53.06
2025/11/20-10:06:58.026884,1763633218.026824305,60.05
2025/11/20-10:06:58.527010,1763633218.526958190,52.59
2025/11/20-10:06:59.027131,1763633219.027078221,53.32
2025/11/20-10:06:59.527261,1763633219.527206174,55.81
2025/11/20-10:07:00.027394,1763633220.027335715,59.10
2025/11/20-10:07:00.527515,1763633220.527461631,54.19
2025/11/20-10:07:01.027646,1763633221.027591513,54.99
