2025/11/18-05:11:50.315515,1763442710.315176120,339
2025/11/18-05:11:51.318867,1763442711.318006476,860
2025/11/18-05:11:52.319449,1763442712.319023387,425
2025/11/18-05:11:53.320309,1763442713.319937621,372
2025/11/18-05:11:54.322846,1763442714.320495611,2350
2025/11/18-05:11:55.323338,1763442715.323024387,314
2025/11/18-05:11:56.327845,1763442716.323507722,4338
2025/11/18-05:11:57.329863,1763442717.328025951,1837
2025/11/18-05:11:58.330357,1763442718.330001116,356
2025/11/18-05:11:59.330828,1763442719.330543719,284
2025/11/18-05:12:00.331353,1763442720.330998270,355
2025/11/18-05:12:01.331877,1763442721.331500871,376
2025/11/18-05:12:02.332323,1763442722.332036105,287
2025/11/18-05:12:03.334850,1763442723.332513621,2337
2025/11/18-05:12:04.337846,1763442724.335030913,2815
2025/11/18-05:12:05.341844,1763442725.338032833,3812
2025/11/18-05:12:06.345849,1763442726.342033484,3816
2025/11/18-05:12:07.346863,1763442727.346035574,827
2025/11/18-05:12:08.347364,1763442728.346995386,369
2025/11/18-05:12:09.347948,1763442729.347534518,413
2025/11/18-05:12:10.348441,1763442730.348096963,344
2025/11/18-05:12:11.348943,1763442731.348596629,346
2025/11/18-05:12:12.350638,1763442732.349114261,1523
2025/11/18-05:12:13.354676,1763442733.350806104,3870
2025/11/18-05:12:14.355147,1763442734.354851300,295
2025/11/18-05:12:15.355737,1763442735.355330218,407
2025/11/18-05:12:16.356304,1763442736.355935119,369
2025/11/18-05:12:17.356933,1763442737.356498434,435
2025/11/18-05:12:18.358847,1763442738.357124159,1723
2025/11/18-05:12:19.359463,1763442739.359050551,412
2025/11/18-05:12:20.360001,1763442740.359626433,375
2025/11/18-05:12:21.362680,1763442741.360170036,2510
2025/11/18-05:12:22.363166,1763442742.362832899,333
2025/11/18-05:12:23.363696,1763442743.363339055,357
2025/11/18-05:12:24.366746,1763442744.363891357,2855
2025/11/18-05:12:25.367298,1763442745.366914943,383
2025/11/18-05:12:26.368053,1763442746.367462994,590
2025/11/18-05:12:27.370787,1763442747.368231965,2555
2025/11/18-05:12:28.371376,1763442748.370928170,448
2025/11/18-05:12:29.371868,1763442749.371555673,312
2025/11/18-05:12:30.374856,1763442750.372030969,2825
2025/11/18-05:12:31.375299,1763442751.375013689,285
2025/11/18-05:12:32.378821,1763442752.375465948,3355
2025/11/18-05:12:33.379268,1763442753.378982216,286
2025/11/18-05:12:34.379821,1763442754.379428975,392
2025/11/18-05:12:35.380450,1763442755.380015401,435
2025/11/18-05:12:36.380977,1763442756.380619922,358
2025/11/18-05:12:37.381567,1763442757.381140290,427
2025/11/18-05:12:38.382158,1763442758.381742950,415
2025/11/18-05:12:39.382779,1763442759.382338399,441
2025/11/18-05:12:40.383321,1763442760.382929216,392
2025/11/18-05:12:41.383927,1763442761.383497067,430
2025/11/18-05:12:42.384442,1763442762.384100263,341
2025/11/18-05:12:43.385036,1763442763.384602843,434
2025/11/18-05:12:44.385531,1763442764.385184081,347
2025/11/18-05:12:45.386109,1763442765.385726670,382
2025/11/18-05:12:46.386630,1763442766.386267263,363
2025/11/18-05:12:47.387103,1763442767.386793167,310
2025/11/18-05:12:48.387616,1763442768.387275834,341
2025/11/18-05:12:49.388205,1763442769.387795108,409
