2025/11/18-11:21:26.134394,1763464886.134346061,48.76
2025/11/18-11:21:26.135306,1763464886.135252338,54.48
2025/11/18-11:21:26.135625,1763464886.135570910,54.47
2025/11/18-11:21:26.135898,1763464886.135843292,54.92
2025/11/18-11:21:26.136217,1763464886.136160511,56.64
2025/11/18-11:21:26.136534,1763464886.136479241,55.54
2025/11/18-11:21:26.136853,1763464886.136797539,56.12
2025/11/18-11:21:26.137169,1763464886.137115713,54.04
2025/11/18-11:21:26.137486,1763464886.137431449,54.60
2025/11/18-11:21:26.137803,1763464886.137748058,55.53
2025/11/18-11:21:26.138121,1763464886.138065441,55.65
2025/11/18-11:21:26.138439,1763464886.138382704,56.72
2025/11/18-11:21:26.138757,1763464886.138701166,56.75
2025/11/18-11:21:26.139074,1763464886.139019501,55.24
2025/11/18-11:21:26.139389,1763464886.139335764,53.60
2025/11/18-11:21:26.139705,1763464886.139650484,55.47
2025/11/18-11:21:26.140024,1763464886.139968817,55.21
2025/11/18-11:21:26.140340,1763464886.140285617,54.94
2025/11/18-11:21:26.140656,1763464886.140601831,54.83
2025/11/18-11:21:26.140972,1763464886.140918378,53.68
2025/11/18-11:21:26.141289,1763464886.141233588,56.34
2025/11/18-11:21:26.141606,1763464886.141551815,54.71
2025/11/18-11:21:26.141919,1763464886.141861948,57.65
2025/11/18-11:21:26.142238,1763464886.142181638,56.76
2025/11/18-11:21:26.142554,1763464886.142500017,54.37
2025/11/18-11:21:26.142870,1763464886.142815593,55.11
2025/11/18-11:21:26.143189,1763464886.143133477,56.33
2025/11/18-11:21:26.143518,1763464886.143451822,66.78
2025/11/18-11:21:26.143856,1763464886.143809304,47.05
2025/11/18-11:21:26.144195,1763464886.144120458,75.36
2025/11/18-11:21:26.144948,1763464886.144892062,56.51
2025/11/18-11:21:26.147896,1763464886.147850366,46.61
2025/11/18-11:21:26.148204,1763464886.148160396,44.27
2025/11/18-11:21:26.148511,1763464886.148465666,45.41
2025/11/18-11:21:26.148816,1763464886.148771722,45.25
2025/11/18-11:21:26.149124,1763464886.149079956,45.03
2025/11/18-11:21:26.149428,1763464886.149385719,42.37
2025/11/18-11:21:26.149731,1763464886.149688673,42.68
2025/11/18-11:21:26.150036,1763464886.149992412,44.51
2025/11/18-11:21:26.150339,1763464886.150301705,37.40
2025/11/18-11:21:26.150639,1763464886.150599768,40.11
2025/11/18-11:21:26.150942,1763464886.150900657,42.04
2025/11/18-11:21:26.151245,1763464886.151204061,41.02
2025/11/18-11:21:26.151551,1763464886.151505865,45.15
2025/11/18-11:21:26.151855,1763464886.151814470,41.06
2025/11/18-11:21:26.152157,1763464886.152116034,41.44
2025/11/18-11:21:26.152459,1763464886.152417884,41.94
2025/11/18-11:21:26.152763,1763464886.152721266,42.40
2025/11/18-11:21:26.153066,1763464886.153025813,40.41
2025/11/18-11:21:26.153367,1763464886.153327223,40.39
2025/11/18-11:21:26.153669,1763464886.153627697,41.80
2025/11/18-11:21:26.153974,1763464886.153931776,42.79
2025/11/18-11:21:26.154275,1763464886.154234931,40.60
2025/11/18-11:21:26.154576,1763464886.154536150,40.66
2025/11/18-11:21:26.154883,1763464886.154840100,42.91
2025/11/18-11:21:26.155183,1763464886.155143565,40.18
2025/11/18-11:21:26.155487,1763464886.155444342,43.13
2025/11/18-11:21:26.155790,1763464886.155749087,41.44
2025/11/18-11:21:26.156096,1763464886.156052603,43.67
2025/11/18-11:21:26.156402,1763464886.156360285,42.30
2025/11/18-11:21:26.156702,1763464886.156662721,40.08
2025/11/18-11:21:26.157006,1763464886.156964233,42.54
2025/11/18-11:21:26.157310,1763464886.157267126,42.96
2025/11/18-11:21:26.157611,1763464886.157573786,38.19
2025/11/18-11:21:26.157890,1763464886.157844372,46.18
2025/11/18-11:21:26.158193,1763464886.158151114,42.87
2025/11/18-11:21:26.158501,1763464886.158454339,46.96
2025/11/18-11:21:26.158802,1763464886.158761637,40.48
2025/11/18-11:21:26.159114,1763464886.159063626,50.93
2025/11/18-11:21:26.159416,1763464886.159375094,41.32
2025/11/18-11:21:26.159730,1763464886.159677530,52.78
2025/11/18-11:21:26.160038,1763464886.159992441,45.93
2025/11/18-11:21:26.160352,1763464886.160298582,53.92
2025/11/18-11:21:26.160654,1763464886.160612801,41.33
2025/11/18-11:21:26.160972,1763464886.160916020,56.75
2025/11/18-11:21:26.161275,1763464886.161233068,42.17
2025/11/18-11:21:26.161593,1763464886.161535595,57.67
2025/11/18-11:21:26.161884,1763464886.161843230,40.84
2025/11/18-11:21:26.162202,1763464886.162144302,58.20
2025/11/18-11:21:26.162503,1763464886.162462878,40.97
2025/11/18-11:21:26.162826,1763464886.162764174,62.74
2025/11/18-11:21:26.163132,1763464886.163087474,44.91
2025/11/18-11:21:26.163456,1763464886.163392689,64.04
2025/11/18-11:21:26.163760,1763464886.163717204,43.63
2025/11/18-11:21:26.164088,1763464886.164021253,67.58
2025/11/18-11:21:26.164392,1763464886.164349068,43.92
2025/11/18-11:21:26.164719,1763464886.164653107,66.80
2025/11/18-11:21:26.165026,1763464886.164982648,43.42
2025/11/18-11:21:26.165355,1763464886.165286350,69.45
