2025/11/18-11:35:41.174934,1763465741.174887024,47.76
2025/11/18-11:35:42.175742,1763465742.175677376,65.46
2025/11/18-11:35:43.175888,1763465743.175823539,64.83
2025/11/18-11:35:44.176036,1763465744.175969541,67.38
2025/11/18-11:35:45.176180,1763465745.176116524,64.00
2025/11/18-11:35:46.176320,1763465746.176258864,61.56
2025/11/18-11:35:47.176475,1763465747.176400207,75.28
2025/11/18-11:35:48.176632,1763465748.176562841,69.92
2025/11/18-11:35:49.176773,1763465749.176709376,64.22
2025/11/18-11:35:50.176957,1763465750.176878932,78.13
2025/11/18-11:35:51.177105,1763465751.177035942,69.92
2025/11/18-11:35:52.177244,1763465752.177181040,63.88
2025/11/18-11:35:53.177385,1763465753.177323114,62.73
2025/11/18-11:35:54.177530,1763465754.177465214,65.37
2025/11/18-11:35:55.177668,1763465755.177605720,62.78
2025/11/18-11:35:56.177815,1763465756.177746995,68.03
2025/11/18-11:35:57.177922,1763465757.177850433,72.47
2025/11/18-11:35:58.178070,1763465758.178003222,67.14
2025/11/18-11:35:59.178212,1763465759.178149678,63.09
2025/11/18-11:36:00.178361,1763465760.178290716,70.53
2025/11/18-11:36:01.178499,1763465761.178435031,64.17
2025/11/18-11:36:02.178649,1763465762.178582267,67.12
2025/11/18-11:36:03.178795,1763465763.178729044,66.24
2025/11/18-11:36:04.178919,1763465764.178849391,69.90
2025/11/18-11:36:05.179062,1763465765.178998191,64.73
2025/11/18-11:36:06.179203,1763465766.179137467,66.38
2025/11/18-11:36:07.179375,1763465767.179280159,95.69
2025/11/18-11:36:08.179545,1763465768.179455054,90.56
2025/11/18-11:36:09.179681,1763465769.179618651,63.31
2025/11/18-11:36:10.179828,1763465770.179764845,64.00
2025/11/18-11:36:11.179983,1763465771.179914128,69.32
2025/11/18-11:36:12.180132,1763465772.180058645,74.16
2025/11/18-11:36:13.180279,1763465773.180210856,68.90
2025/11/18-11:36:14.180420,1763465774.180353671,67.13
2025/11/18-11:36:15.180567,1763465775.180497009,70.02
2025/11/18-11:36:16.180710,1763465776.180646155,63.91
2025/11/18-11:36:17.180855,1763465777.180788646,66.66
2025/11/18-11:36:18.181006,1763465778.180932523,73.60
2025/11/18-11:36:19.181147,1763465779.181087659,60.21
2025/11/18-11:36:20.181290,1763465780.181223538,66.47
2025/11/18-11:36:21.181437,1763465781.181372473,64.76
2025/11/18-11:36:22.181581,1763465782.181517360,64.28
2025/11/18-11:36:23.181722,1763465783.181655268,67.23
2025/11/18-11:36:24.181867,1763465784.181801634,66.06
2025/11/18-11:36:25.182017,1763465785.181950985,66.70
2025/11/18-11:36:26.182162,1763465786.182096266,66.36
2025/11/18-11:36:27.182303,1763465787.182237184,66.55
2025/11/18-11:36:28.182448,1763465788.182382693,66.18
2025/11/18-11:36:29.182593,1763465789.182526434,67.23
2025/11/18-11:36:30.182741,1763465790.182672537,68.75
2025/11/18-11:36:31.182875,1763465791.182814016,61.51
2025/11/18-11:36:32.183015,1763465792.182954710,61.09
2025/11/18-11:36:33.183161,1763465793.183100951,60.25
2025/11/18-11:36:34.183304,1763465794.183235827,68.21
2025/11/18-11:36:35.183456,1763465795.183380761,75.66
2025/11/18-11:36:36.183613,1763465796.183530776,82.27
2025/11/18-11:36:37.183754,1763465797.183688922,65.14
2025/11/18-11:36:38.183919,1763465798.183829881,89.61
2025/11/18-11:36:39.184062,1763465799.183998063,64.42
2025/11/18-11:36:40.184218,1763465800.184151758,66.71
