2025/11/18-16:09:28.280944,1763482168.280906139,38.79
2025/11/18-16:09:28.282664,1763482168.282624653,40.29
2025/11/18-16:09:28.283772,1763482168.283733094,39.62
2025/11/18-16:09:28.284879,1763482168.284840689,38.59
2025/11/18-16:09:28.285982,1763482168.285942492,40.35
2025/11/18-16:09:28.287084,1763482168.287045633,39.30
2025/11/18-16:09:28.288193,1763482168.288147804,45.93
2025/11/18-16:09:28.289298,1763482168.289258626,40.06
2025/11/18-16:09:28.290409,1763482168.290364269,45.26
2025/11/18-16:09:28.291511,1763482168.291472260,38.75
2025/11/18-16:09:28.292612,1763482168.292573303,39.47
2025/11/18-16:09:28.293717,1763482168.293678905,38.67
2025/11/18-16:09:28.294820,1763482168.294780668,39.61
2025/11/18-16:09:28.295888,1763482168.295844213,43.82
2025/11/18-16:09:28.296992,1763482168.296956209,35.91
2025/11/18-16:09:28.298098,1763482168.298059972,38.49
2025/11/18-16:09:28.299200,1763482168.299161616,38.42
2025/11/18-16:09:28.300300,1763482168.300262533,38.14
2025/11/18-16:09:28.301406,1763482168.301364714,41.91
2025/11/18-16:09:28.302509,1763482168.302470194,39.53
2025/11/18-16:09:28.303620,1763482168.303572859,47.80
2025/11/18-16:09:28.304723,1763482168.304683659,39.54
2025/11/18-16:09:28.305827,1763482168.305786201,41.10
2025/11/18-16:09:28.306886,1763482168.306845417,40.83
2025/11/18-16:09:28.307993,1763482168.307951509,42.32
2025/11/18-16:09:28.309098,1763482168.309058518,39.70
2025/11/18-16:09:28.310203,1763482168.310160774,43.07
2025/11/18-16:09:28.311973,1763482168.311927334,46.06
2025/11/18-16:09:28.313084,1763482168.313042897,42.04
2025/11/18-16:09:28.314190,1763482168.314151794,38.89
2025/11/18-16:09:28.315293,1763482168.315254784,38.86
2025/11/18-16:09:28.316395,1763482168.316357548,37.55
2025/11/18-16:09:28.317498,1763482168.317459532,39.02
2025/11/18-16:09:28.318602,1763482168.318565053,37.09
2025/11/18-16:09:28.319705,1763482168.319666123,39.18
2025/11/18-16:09:28.320807,1763482168.320767897,39.57
2025/11/18-16:09:28.321885,1763482168.321845304,39.82
2025/11/18-16:09:28.322985,1763482168.322947540,37.92
2025/11/18-16:09:28.324086,1763482168.324047711,39.01
2025/11/18-16:09:28.325193,1763482168.325149613,43.75
2025/11/18-16:09:28.326299,1763482168.326255825,43.26
